Bitcoin,Ethereum,Litecoin,Yuan,Euro,Pound,Gold,Oil,SP
4352.31,297.470001,51.869999,6.6534,0.8522,0.7556,1272.44,50,2540.530029
4362.64,309,52.75,6.6534,0.8548,0.763,1272.28,50.79,2552.51001
4413.27,314.119995,52.900002,6.6534,0.8569,0.7678,1265.77,49.34,2549.409912
4878.71,305.950012,51.630001,6.6571,0.8535,0.7659,1278.06,49.58,2551.820068
4922.17,305.119995,51.049999,6.6238,0.8518,0.7617,1283.49,50.93,2555.22998
4873.73,308.769989,59.720001,6.6002,0.8478,0.7591,1286.32,51.3,2555.23999
5446.91,347.700012,60.759998,6.5996,0.8456,0.7621,1291.8,50.61,2555.330078
5840.3,347.140015,66.480003,6.5886,0.8471,0.7549,1292.6,51.43,2557.649902
5776.23,334.420013,64.970001,6.5944,0.8489,0.7562,1300.22,51.86,2559.469971
5800.35,316.339996,61.889999,6.6248,0.8521,0.7602,1289.96,51.87,2559.709961
5603.82,316.380005,61.389999,6.6291,0.8526,0.7611,1282.71,52.05,2564.110107
5744.35,312.109985,62.169998,6.6391,0.8498,0.7615,1277.86,51.29,2562.360107
6060.11,303.089996,60.360001,6.6271,0.8501,0.7641,1282.3,51.63,2575.439941
6075.59,311.230011,58.98,6.6411,0.8529,0.76,1273.27,51.91,2578.290039
5935.52,300.359985,56.400002,6.6403,0.8518,0.7626,1278.79,52.32,2572.179932
5754.33,299.369995,56.950001,6.6491,0.8508,0.7628,1271.74,51.97,2567.399902
5976.8,298.899994,55.990002,6.6435,0.859,0.7607,1277.19,52.41,2567.070068
5988.39,297.049988,55.790001,6.6632,0.864,0.7651,1264.52,53.92,2582.97998
6214.99,311.940002,58.66,6.6526,0.8626,0.7631,1268.19,54.11,2580.030029
6470.43,310.859985,56.740002,6.6461,0.8602,0.7581,1273.42,54.36,2578.290039
6767.31,304.769989,55.619999,6.6385,0.8617,0.7553,1268.71,54.32,2588.399902
7367.33,293.029999,54.900002,6.6132,0.8611,0.7668,1275.49,54.55,2581.110107
7461.29,307.140015,56.130001,6.6399,0.8622,0.767,1273.91,55.63,2588.419922
7445.77,306.799988,55.790001,6.6434,0.8636,0.7658,1267.03,57.34,2593.379883
7253.32,303.76001,63.490002,6.6421,0.8655,0.7629,1276.64,57.19,2597.02002
7776.42,319.200012,64.07,6.6467,0.8637,0.7641,1275.17,56.82,2595.469971
7446.83,329.209991,66.900002,6.6441,0.8631,0.7643,1279.76,57.16,2586.5
7312,324.220001,65.75,6.6466,0.8606,0.7627,1282.39,56.75,2583.810059
6811.19,318.579987,61.84,6.6531,0.8595,0.7656,1273.7,56.77,2587.659912
6764.98,337.149994,63.41,6.6451,0.8576,0.7649,1273.67,55.67,2579.659912
7342.25,345.179993,76.099998,6.6388,0.8486,0.7618,1279.33,55.28,2572.840088
7967.38,334.850006,72.5,6.6406,0.8507,0.7614,1275.12,55.14,2590.090088
