Date,Price,Open,High,Low,Change %
04/24/15,0.9196,0.9237,0.9274,0.9173,-0.44%
04/23/15,0.9237,0.9324,0.9378,0.9218,-0.92%
04/22/15,0.9323,0.9312,0.9339,0.9257,0.09%
04/21/15,0.9315,0.9312,0.9382,0.9274,0.04%
04/20/15,0.9311,0.9238,0.9337,0.9236,0.62%
04/17/15,0.9254,0.9291,0.9315,0.9217,-0.42%
04/16/15,0.9293,0.9357,0.9413,0.9242,-0.69%
04/15/15,0.9358,0.9385,0.9463,0.9343,-0.30%
04/14/15,0.9386,0.9462,0.9496,0.9338,-0.81%
04/13/15,0.9463,0.943,0.9506,0.9414,0.35%
04/10/15,0.943,0.938,0.9464,0.9358,0.51%
04/09/15,0.9382,0.9275,0.9402,0.9268,1.14%
04/08/15,0.9276,0.9244,0.929,0.9184,0.32%
04/07/15,0.9246,0.9156,0.9256,0.9127,1.01%
04/06/15,0.9154,0.9097,0.9166,0.906,0.49%
04/03/15,0.9109,0.9186,0.9208,0.9067,-0.86%
04/02/15,0.9188,0.9289,0.9303,0.9168,-1.10%
04/01/15,0.929,0.9313,0.9329,0.9258,-0.31%
03/31/15,0.9319,0.9228,0.9334,0.9218,0.95%
03/30/15,0.9231,0.9181,0.9252,0.9177,0.51%
03/27/15,0.9184,0.9184,0.9259,0.9132,-0.04%
03/26/15,0.9188,0.9114,0.9212,0.9046,0.81%
03/25/15,0.9114,0.9152,0.9175,0.9077,-0.42%
03/24/15,0.9152,0.9136,0.9184,0.9065,0.19%
03/23/15,0.9135,0.9224,0.9287,0.9112,-1.15%
03/20/15,0.9241,0.938,0.939,0.9189,-1.49%
03/19/15,0.9381,0.9201,0.9423,0.916,1.93%
03/18/15,0.9203,0.9436,0.9454,0.9095,-2.46%
03/17/15,0.9435,0.946,0.9479,0.9387,-0.29%
03/16/15,0.9462,0.9527,0.9564,0.9414,-0.69%
03/13/15,0.9528,0.9402,0.9558,0.9398,1.33%
03/12/15,0.9403,0.948,0.9528,0.9358,-0.83%
03/11/15,0.9482,0.9347,0.9515,0.9329,1.44%
03/10/15,0.9347,0.9213,0.9353,0.9208,1.44%
03/09/15,0.9214,0.9229,0.9241,0.9167,-0.09%
03/06/15,0.9222,0.9063,0.9224,0.9061,1.72%
03/05/15,0.9066,0.9025,0.9103,0.8996,0.44%
03/04/15,0.9026,0.8946,0.9041,0.8938,0.88%
03/03/15,0.8947,0.8941,0.8966,0.8913,0.07%
03/02/15,0.8941,0.8937,0.8961,0.8895,0.10%
02/27/15,0.8932,0.8929,0.895,0.8891,0.01%
02/26/15,0.8931,0.8801,0.8942,0.8786,1.48%
02/25/15,0.8801,0.8818,0.8821,0.878,-0.19%
02/24/15,0.8818,0.8822,0.886,0.8802,-0.07%
02/23/15,0.8824,0.8784,0.8855,0.876,0.42%
02/20/15,0.8787,0.8796,0.8867,0.8748,-0.13%
02/19/15,0.8798,0.8773,0.8807,0.8732,0.27%
